Utterance,Emotion,,,,,,
"Yeah, 'cause that's why you won't get Isabella Rosselini, geography.",happy,,,,,,
"Okay so, by melting, you meant melting.",neutral,,,,,,
Yeah.,neutral,,,,,,
So is it like art?,neutral,,,,,,
"Um, yeah sure. Why you wanna call your Mom?",neutral,,,,,,
"No, I wanna melt it.",neutral,,,,,,
"Oh, well um, not right now. Y'know I'm just gonna go to bed, I think the fumes are giving me a headache.",sad,,,,,,
Yeah!,happy,,,,,,
"G'night, bro.",happy,,,,,,
G'night.,happy,,,,,,
"Here. Y'know, just in case.",happy,,,,,,
"Oh, excellent.",happy,,,,,,
What kind of karate is that?,neutral,,,,,,
No kind. He just makes it up.,neutral,,,,,,
So how's it going with you guys?,happy,,,,,,
"So far, it kinda blows. I don't know, I just thought y'know that he'd feel more like a brother y'know, like you and Ross, just like close and connected and....",sad,,,,,,
"Oh honey, we're close now but you-you wouldn't believe the years of-of nugies, and wedgies, and flying wedgies, and atomic wedgies, and.... That's where the waistband actually goes over your head.",happy,,,,,,
Ah!!,neutral,,,,,,
"Oh, we used to drive each other crazy playing the shadow game.",happy,,,,,,
"Oh, how do you play the shadow game?",happy,,,,,,
"Oh, how do you play the shadow game?",happy,,,,,,
I just asked you.,neutral,,,,,,
I just asked you.,happy,,,,,,
I don't have time for this.,angry,,,,,,
"No, that is what the game is.",happy,,,,,,
Which you just gave up really quickly.,neutral,,,,,,
Have you seen Joey?,neutral,,,,,,
What's the matter?,happy,,,,,,
What's going on?,happy,,,,,,
He's retiling my floor.,neutral,,,,,,
Yo!! Spackel boy! Get up!,happy,,,,,,
He started mine first!,angry,,,,,,
"Build the unit Cinderelly, lay the tile Cinderelly.",happy,,,,,,
Whoa! Big octopus.,happy,,,,,,
"Yeah. 'Hello. Oh my God, I totally forgot! Well can't someone else do it. But, I have company. Yeah, no look, that's all right I'll come in.' Um, Frank, I'm really sorry but I have to go to work. It's-it's one of my regulars and he's insisting that I do 'um.",neutral,,,,,,
"Hey, what kind of work do you do?",neutral,,,,,,
Oh! I'm a masseuse. I give people massages and stuff.,happy,,,,,,
You-you work at one of those massage parlors?,neutral,,,,,,
"Well, y'know we don't call it that, but yeah!",happy,,,,,,
"Wow! That's wild! No, I had no idea.",happy,,,,,,
All righty. I'll be back in-in a little bit. Unless you wanna come with me?,happy,,,,,,
You mean like watch?,happy,,,,,,
"No, no, you can get one yourself. It'll be on the house! Y'know what are big sisters for?",happy,,,,,,
"Well, I don't think this, y'know.",fearful,,,,,,
"No, no, no, I wouldn't do you myself, I mean that would be weird. Yeah, no, I'll get one of the other girls to do it. Oh, this will be so much fun! Hey! Are you excited?",happy,,,,,,
"Yeah! Hey, do Monica and Rachel work there?",happy,,,,,,
It's beautiful! It's like the first bathroom floor there ever was. Whoa! Are you going in there for?,fearful,,,,,,
"What, like a number?",happy,,,,,,
Hey!,happy,,,,,,
Hi! Bye!,happy,,,,,,
"Okay, I'm done with my choices, these are final.",happy,,,,,,
"Well, it's about time.",happy,,,,,,
"Ooh, very official.",happy,,,,,,
"Oh, yeah, well y'know Chandler printed it up on his computer.",fearful,,,,,,
And who laminated it?,happy,,,,,,
That would be me.,happy,,,,,,
"All right let me see. Uma Thurman, Winona Ryder, Elizabeth Hurely, Michelle Pfieffer, and Dorothy Hammel?",happy,,,,,,
"Hey, it's my list.",sad,,,,,,
"Okay honey, you do realize she only spins like that on ice.",happy,,,,,,
"Okay, on three. One....Two....",happy,,,,,,
Why don't we just go on two.,neutral,,,,,,
Why two?,neutral,,,,,,
Because it's faster.,happy,,,,,,
"Yeah, I coulda counted to three like four times without all this 'two' talk.",angry,,,,,,
Oh!,happy,,,,,,
"All right, but in the future...",neutral,,,,,,
Okay!! Okay!!,angry,,,,,,
Come on!,angry,,,,,,
"Heavy thing, not getting lighter!",angry,,,,,,
"Okay, one...two...",happy,,,,,,
So we are going on two?,happy,,,,,,
All right!!,angry,,,,,,
"Oh, good job Joe.",neutral,,,,,,
"Wow, it's big!",happy,,,,,,
"Maybe, my ruler's wrong.",angry,,,,,,
Maybe all the rulers are wrong.,neutral,,,,,,
Y'know what?,neutral,,,,,,
Umm?,neutral,,,,,,
I bet 'ya ya I could fit in there.,happy,,,,,,
I've got five bucks says you can't.,happy,,,,,,
"Get out your checkbook, mister.",happy,,,,,,
"Oh, I think I have the cash.",happy,,,,,,
You are dogged man! I totally fit!,happy,,,,,,
"Yeah, you got me. I'm out five big ones! Here you go.",angry,,,,,,
"Thank you. Cha-ching! Oh, well hello Mr. Lincoln. Better luck next time buddy. And the drinks are on me!",happy,,,,,,
Janice has a question. Who of the six of you has sleep with the six of you?,neutral,,,,,,
"Wow, it's like a dirty math problem.",neutral,,,,,,
I'm sorry the answer there would be...none of us.,fearful,,,,,,
"Come on over the years none of you ever y'know, got drunk and stupid.",happy,,,,,,
"Well, that's really a different question.",neutral,,,,,,
"Well, there was that one time that Monica and Rachel got together.",happy,,,,,,
What?!!,angry,,,,,,
"Excuse me, there was no time!",angry,,,,,,
"Okay, but let's say there was. How might that go?",happy,,,,,,
"Okay, okay, well then answer me this. Has any of you ever.... almost?",neutral,,,,,,
Does anybody need more coffee?,fearful,,,,,,
"Yeah, I'll take some.",fearful,,,,,,
"Hey, there's a dog out there!",happy,,,,,,
"Soo, ah, Eric, what kind of photography do ya do?",neutral,,,,,,
"Oh, mostly fashion, so there may be models here from time to time, I hope that's cool.",neutral,,,,,,
"Yes, that is cool. Because I have models here y'know......never.",happy,,,,,,
"Well, listen I ah, still have one more person to ah meet, but unless it turns out to be your sister, I think you're chances are pretty good. All right.",happy,,,,,,
"Bedroom. Bathroom. Living room. This right here is the kitchen, and thanks for coming by, Bye-bye.",happy,,,,,,
"Don't you ah, don't you wanna ask me any questions?",neutral,,,,,,
Sure. Ummm. What's up?,fearful,,,,,,
"Well, ah, I'm an actor. I'm fairly neat. I ah, I got my own TV. Oh, and don't worry I'm totally okay with the gay thing.",happy,,,,,,
What gay thing?,fearful,,,,,,
"No real-, honey, really it's fine, just g-go with Susan. Really, I, no, I think girls night out is a great idea. Okay, okay, bye",fearful,,,,,,
So what are they doing?,happy,,,,,,
"I don't know, something girlie.",happy,,,,,,
"Hey, you're early.",happy,,,,,,
What are you doing with the lamp?,fearful,,,,,,
I'm just taking it to be re-wired.,neutral,,,,,,
"No, no, Mr. Heckles no one is making any noise up here.",fearful,,,,,,
You're disturbing my oboe practice.,angry,,,,,,
You don't play the oboe!,angry,,,,,,
I could play the oboe!,angry,,,,,,
Then I'm gonna have to ask you to keep it down.,angry,,,,,,
Who are you?,fearful,,,,,,
"Hi, I'm Eric, I'm gonna be Chandler's new roommate.",happy,,,,,,
I'm Chandler's new roommate.,happy,,,,,,
I-I-I don't think so.,happy,,,,,,
I could be Chandler's new roommate.,angry,,,,,,
"But, he told me over the phone.",fearful,,,,,,
He told me in person.,happy,,,,,,
That's weird.,fearful,,,,,,
"Hi, again.",neutral,,,,,,
Hey!,happy,,,,,,
Hey!,happy,,,,,,
"Thank you soo, much.",happy,,,,,,
You want some help with that?,neutral,,,,,,
"Oh, no thanks, I got it. No I don't!",neutral,,,,,,
Whoa! Are you okay?,fearful,,,,,,
It's the heat. And-and the humidity.,neutral,,,,,,
"That's a uh, that's a tough combination.",fearful,,,,,,
Thank you. Just make yourself comfortable.,neutral,,,,,,
Gotcha.,neutral,,,,,,
"Oh, you bet I am!",happy,,,,,,
"Okay, here's your penis!",happy,,,,,,
Oh my God!!! What are you doing?!!,fearful,,,,,,
So?!,angry,,,,,,
Yeah huh!! Cover yourself up!,fearful,,,,,,
"Oh right, right.",fearful,,,,,,
Pheebs?,neutral,,,,,,
Huh?,neutral,,,,,,
Where's your bed?,fearful,,,,,,
What?,fearful,,,,,,
What are you talking about?,fearful,,,,,,
Everybody knows!,happy,,,,,,
What?!?!,fearful,,,,,,
You can spill. In the sink.,happy,,,,,,
"I love you, too.",happy,,,,,,
"Aww, good. What?",happy,,,,,,
What? I'm just said.,fearful,,,,,,
"So ah, whatcha watching?",happy,,,,,,
Baywatch.,happy,,,,,,
What's it about?,neutral,,,,,,
Lifeguards.,neutral,,,,,,
Nicole Eggert. You'll like her.,happy,,,,,,
Wow! Look at them run.,happy,,,,,,
"Yeah, I'll go get one.",happy,,,,,,
"Well, hello!",neutral,,,,,,
Hey.,neutral,,,,,,
Help yourself.,sad,,,,,,
You okay?,neutral,,,,,,
Phoebe moved out.,sad,,,,,,
Right.,neutral,,,,,,
"Well, I think so.",sad,,,,,,
Hi. Where is everybody?,sad,,,,,,
Oh no! Why?,fearful,,,,,,
"Well, now I do!!",angry,,,,,,
I'm sorry.,sad,,,,,,
"Aw, God Ross. Oh.",sad,,,,,,
"Umm, this is nice.",happy,,,,,,
"I know, it is isn't it?",happy,,,,,,
I know. Thanks.,neutral,,,,,,
I can't believe you came back.,happy,,,,,,
"Don't say anything. I don't wanna speak, I don't wanna think. I just want you to take me and kiss me and make love to me right here, right now.",happy,,,,,,
Rachel! Rachel!,fearful,,,,,,
What?,neutral,,,,,,
You missed the exit!,angry,,,,,,
"Oh, sorry.",sad,,,,,,
"My God, what were you thinking about?",fearful,,,,,,
"Um, Barry.",fearful,,,,,,
Awwww!!,happy,,,,,,
"So I told Carl, 'Nobody, no matter how famous their parents are, nobody is allowed to climb on the dinosaur.' But of course this went in one ear and out.....",neutral,,,,,,
I love how he cares so much about stuff. If I squint I can pretend he's Alan Alda.,happy,,,,,,
"Oh good, another dinosaur story. When are those gonna become extinct?",neutral,,,,,,
"If I was a superhero who could fly and be invisible, that would be the best.",happy,,,,,,
What does Rachel see in this guy? I love Rachel. I wish she was my wife.,happy,,,,,,
Who's singing?,neutral,,,,,,
"Hey. When you guys were kids and you played Happy Days, who were you? I was always Richie.",happy,,,,,,
I was always Joanne.,happy,,,,,,
"Question. Was ah, 'Egg the Gellers!' the war cry of your neighbourhood?",neutral,,,,,,
Ewww! Oh! It's the Mattress King!,sad,,,,,,
Booo!!,sad,,,,,,
Don't look honey. Change the channel! Change the channel!,angry,,,,,,
"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",happy,,,,,,
'Despair fills the mattress showroom. My kingdom is suddenly without a queen. I'm so depressed I'm going to slash... my prices!! Check it out! Four ninety-nine for a pillow top queen set! I'm going medieval on prices!,happy,,,,,,
What a wank!,angry,,,,,,
"Oh, I cannot believe he's using our divorce to sell mattresses.",angry,,,,,,
I'm close. I'm cheap. I'm the king.,happy,,,,,,
"Ugh! I don't know Monica. It feels funny just being here. I mean if you buy a bed from Janice's ex-husband, that's like betraying Chandler.",fearful,,,,,,
Not at these prices.,neutral,,,,,,
Hi. Y'know in England this car would be on the other side of the store. Woo!,happy,,,,,,
"Oh! Ohhhhh! Oh! Phoebe, come here. Aw, this is my new bed. You gotta feel this bad boy.",happy,,,,,,
"Eh, Monica it, it feels so weird, y'know, Chandler's your friend... Oh! Oh my God! Aw, all right take this bed, you can make other friends.",happy,,,,,,
Hi Daddy!,happy,,,,,,
"This where they put it? What, there no table available in the kitchen! Hello, baby.",happy,,,,,,
You remember Ross.,neutral,,,,,,
Um-hmm.,neutral,,,,,,
Nice to see you again Dr. Green.,happy,,,,,,
So! How's the library?,neutral,,,,,,
"Ugh, museum.",sad,,,,,,
What happened to the library?,neutral,,,,,,
"You know what's really good here, the lobster. What do you say shall I just order three.",happy,,,,,,
"Yeah, actually Daddy Ross is allergic to lobster.",neutral,,,,,,
It's not a library...,neutral,,,,,,
"I know!! It's a museum! What, you're the only one around here who can make a joke! At least mine was funny. Ah, waiter, we will have two lobsters and a menu.",neutral,,,,,,
"Hey, Mr. Trib.",neutral,,,,,,
Hey-hey.,neutral,,,,,,
"Guess what, I got an audition!",happy,,,,,,
"Awww, one of my students got an audition. I'm so proud.",happy,,,,,,
I was wondering if you would consider coaching me for it?,happy,,,,,,
You bet! What's the part?,happy,,,,,,
"Oh it's great, it's a role on All My Children, Nick the boxer.",neutral,,,,,,
Four percent. Okay. I tip more than that when there's a bug in my food.,neutral,,,,,,
"Ross, tonight was about the two of you getting along. Oh, would you just see my chiropractor, already.",angry,,,,,,
"Yeah, I'm gonna go to a doctor who went to school in a mini-mall.",neutral,,,,,,
"Hey Pheebs, what are you doing?",neutral,,,,,,
"I'm, I'm freaking out! Monica kinda trusted me with something and she shouldn't have! All right, I haven't lived here in a while, so I have to ask you something. Does Monica still turn on the lights in her bedroom?",neutral,,,,,,
Um. yeah.,neutral,,,,,,
I am soo dead.,sad,,,,,,
"All right, look, here's the bottom line Ross, this is fixable, if we act fast, okay. So, I'll invite him to brunch tomorrow and you can make nice.",neutral,,,,,,
"Okay, look, Ross, I realise that my Father is difficult, but that's why you have got to be the bigger man here.",happy,,,,,,
"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn't make any difference, except that I could pick your Father up and say 'Like me! Like me tiny doctor!'",neutral,,,,,,
"Okay, well can't you just try it one more time Ross? For me? For me?",sad,,,,,,
"Okay, okay, okay. I'll get the bagels.",sad,,,,,,
What's this?,fearful,,,,,,
Isn't it cool! Varoom! Varoom!,happy,,,,,,
This is not the bed I ordered!,angry,,,,,,
"I know, you must've won like a contest or something!",happy,,,,,,
Phoebe!,angry,,,,,,
Why is this car in my bedroom?,angry,,,,,,
"I'm sorry, okay, I-I wasn't looking, and the store says that they won't take it back because you signed for it...",fearful,,,,,,
When did I sign for it?,angry,,,,,,
"When I was you! Y'know what, it's all Joey's fault, 'cause he left his nose open!",fearful,,,,,,
Did you make brownies today?,neutral,,,,,,
"Knock, knock.",neutral,,,,,,
"Quick, take off your dress, he won't notice the bed.",happy,,,,,,
"Hey, I'm going for sushi does anybody want.. Whoa-whoa, somebody missed the off ramp.",angry,,,,,,
It's Monica's bed. What?,fearful,,,,,,
Okay. It's a racecar.,angry,,,,,,
"So. This has always been Monica's bed, what you're just noticing now, how self-involved are you?",fearful,,,,,,
"Okay, well it this bed isn't new, how come there is plastic on the mattress?",happy,,,,,,
Sometimes I have bad dreams.,fearful,,,,,,
"Look, I just saw my best friends brains smeared across the canvas, that's not gonna be me, not me.",fearful,,,,,,
Wow! That was good. That was... Tweezers?,happy,,,,,,
No.,neutral,,,,,,
Whoa. That was really good.,happy,,,,,,
"Thanks, any suggestions?",neutral,,,,,,
You told him to play the boxer gay!!,angry,,,,,,
"Well, I-I might've said supergay.",fearful,,,,,,
You totally screwed him over.,angry,,,,,,
"Joey, you're this guy's teacher. I mean how could you do this?",angry,,,,,,
"Because, Monica, the guy's so good, and I really, really want this part.",happy,,,,,,
"Well, if you really, really want it, then it's okay.",neutral,,,,,,
"Uh, may I help you?",neutral,,,,,,
"Look, it's like I told you, there's nothing I can do. You signed for it, Monica Velula Geller.",angry,,,,,,
"All right, Jester man, look we wanna see the king.",angry,,,,,,
Nobody sees the king!,angry,,,,,,
"Oh-ho-kay, I'm talking to the king.",angry,,,,,,
Hey! You can't go back there!,angry,,,,,,
Oh my God.,fearful,,,,,,
"Eh..., I don't, I don't know.",neutral,,,,,,
What?,neutral,,,,,,
Rachel?,neutral,,,,,,
Yeah.,neutral,,,,,,
"Oh, sure! Do you need me to train somebody new?",happy,,,,,,
"Good one. Actually, ah, Terry wants you to take the training again, whenever.",happy,,,,,,
"Eh, do you believe that?",angry,,,,,,
Yeah?,neutral,,,,,,
"So that's two boxes of the Holiday Macaroons. On behalf of the Brown Birds of America, I salute you.",neutral,,,,,,
"Just admit it Chandler, you have no backhand.",neutral,,,,,,
"Excuse me little one, I have a very solid backhand.",happy,,,,,,
Shielding your face and shrieking like a girl... is not a backhand.,happy,,,,,,
I was shrieking... like a Marine.,happy,,,,,,
All right here. Watch me execute the three 'P's of championship play. Power. Precision. and penache.,happy,,,,,,
You broke a little girl's leg?!!,angry,,,,,,
I know. I feel horrible. Okay.,sad,,,,,,
Says here that a muppet got whacked on Seasame Street last night. Where exactly were around ten-ish?,neutral,,,,,,
"Well, I'm gonna go see her. I want to bring her something, what do you think she'll like?",fearful,,,,,,
"Maybe a Hello Kitty doll, the ability to walk...",angry,,,,,,
I'm gonna get back to retraining.,neutral,,,,,,
"All right, see you guys.",sad,,,,,,
"Look out kids, he's coming!",sad,,,,,,
And I gotta go sell some Christmas trees.,neutral,,,,,,
"Have fun. Oh wait, no, don't! I forgot I am totally against that now.",angry,,,,,,
What? Me having a job?,fearful,,,,,,
"No, no, I am against innocent trees being cut down in their prime, and their, their corpses grotesquely dressed in like tinsel and twinkly lights. Hey, how do you sleep at night?",angry,,,,,,
Really?,angry,,,,,,
"Yes. Yes, and ah, ah, the trees are happy too, because for most of them, it's the only chance to see New York.",happy,,,,,,
"Gunther, Gunther, please, I've worked here for two and a half years, I know the empty trays go over there.",angry,,,,,,
What if you put them here.,angry,,,,,,
They already do. That's why they call it the 'tray spot.',neutral,,,,,,
"Gee, I always heard them talk about that, I just always thought that it was a club they went to. Oh God, I'm, I'm sorry.",sad,,,,,,
It's all right. Sweetheart.,happy,,,,,,
"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a real space shuttle.",happy,,,,,,
"Wow, you ah, you really like all this space stuff, huh?",happy,,,,,,
I think you would have to clean a whole lot of apartments to go all the way to India.,neutral,,,,,,
"No. The one in Atlantic City, Dad loves the slots. He says he's gonna double the college money my Grandma left me.",happy,,,,,,
"Huh. Well, good luck to Dad. Say, how many more boxes would you have to sell in order to win?",neutral,,,,,,
The girl who won last year sold four hundred and seventy-five.,neutral,,,,,,
Yeah.,neutral,,,,,,
"So far, I've sold seventy-five.",neutral,,,,,,
"Four hundred, huh? Well, that sounds do-able. How much are the boxes?",fearful,,,,,,
Five dollars a box.,happy,,,,,,
And what is second prize?,fearful,,,,,,
"A ten speed bike. But, I'd rather have something my Dad couldn't sell.",happy,,,,,,
"Well, that makes sense.",happy,,,,,,
"Could you do me one favor, if it's not too much trouble?",neutral,,,,,,
"Yeah, Sarah, anything.",happy,,,,,,
Yesss?,fearful,,,,,,
"Hi, I'm selling Brown Bird cookies.",happy,,,,,,
"You're no Brown Bird, I can see you through my peephole.",fearful,,,,,,
"No, hi, I'm, I'm an honorary Brown Bird",happy,,,,,,
What does that mean?,fearful,,,,,,
"Ah, well, it means that I can sell cookies, but I'm not invited to sleep-overs.",neutral,,,,,,
"I can dial 9-1-1 at the touch of a button, y'know. Now, go away!",angry,,,,,,
"No, please, please, um, it's for a poor little girl who wants to go to Spacecamp more than anything in the world.",fearful,,,,,,
"I'm pressing, a policeman is on his way.",angry,,,,,,
"Okay, okay! I'm going. I'm going.",fearful,,,,,,
I can still see you!,angry,,,,,,
All right!!,angry,,,,,,
Hey.,neutral,,,,,,
"Hey. What, what are you doing here?",neutral,,,,,,
"Well, I-I thought a lot about what you said, and um, I realilized duh, all right maybe I was a little judgmental. Yeah, oh, but oh...",happy,,,,,,
"Look now, Phoebe remember, hey, their just fulfilling their Christmas....",happy,,,,,,
Destiny.,happy,,,,,,
Sure.,neutral,,,,,,
Yes.,neutral,,,,,,
All right.,happy,,,,,,
"Oh, that's, that's ah, one of the old ones, he's just taking it to the back.",neutral,,,,,,
"You keep the old ones in the back, that is so ageist.",happy,,,,,,
Well we have to make room for the fresh ones.,happy,,,,,,
"So, what happens to the old guys?",happy,,,,,,
"Well, they go into the chipper.",neutral,,,,,,
"Why, do I have a feeling that's not as happy as it sounds? No! Nooooo!!!",fearful,,,,,,
Hey! Hey!!,fearful,,,,,,
"Okay, and ah, this one here is a Douglas Fir, now it's a little more money, but you get a nicer smell.",happy,,,,,,
Looks good. I'll take it.,happy,,,,,,
"Wait, wait, wait, wait, wait! No, no, you don't want that one. No, you can have this cool brown one.",happy,,,,,,
It's-it's-it's almost dead!,angry,,,,,,
"Okay but that's why you have to buy it, so it can fulfil it's Christmas destiny, otherwise there gonna throw it into the chipper. Tell him, Joey",angry,,,,,,
"Yeah, the ah, trees that don't fulfil their Christmas destiny are thrown in the chipper.",sad,,,,,,
I-I think I'm gonna look around a little bit more.,fearful,,,,,,
"Pheebs, you gotta stop this, I working on commission here.",angry,,,,,,
"Hey, guys. I'm here to pick out my Christmas tree.",happy,,,,,,
"Well look no further, this one's yours! Ahhh.",happy,,,,,,
Is this the one that I threw out last year?,happy,,,,,,
"All right y'know what, nevermind! Everyone wants to have a green one! I'm sorry, I'm sorry, I didn't mean to get so emotional, I guess it's just the holidays, it's hard.",fearful,,,,,,
"Oh honey, is that 'cause your Mom died around Christmas?",happy,,,,,,
"Oh, I wasn't even thinking about that.",happy,,,,,,
Oh.,sad,,,,,,
"Hi there. How many, how many ah, did you sell?",neutral,,,,,,
I'm not gonna tell you! You're the bad man who broke Sarah's leg.,angry,,,,,,
"Hey now! That was an accident, okay.",happy,,,,,,
You're a big scrud.,angry,,,,,,
What's a scrud?,happy,,,,,,
"Why don't you look in the mirror, scrud.",angry,,,,,,
I don't have too. I can just look at you.,happy,,,,,,
"All right girls, and man. Let's see your final tallies. Ohhhh, Debbie, 321 boxes of cookies, Very nice.",neutral,,,,,,
Not nice enough.,fearful,,,,,,
"Charla, 278. Sorry, dear, but still good.",happy,,,,,,
Good for a scrud.,happy,,,,,,
"Oh, yes Elizabeth. Ah, 871.",neutral,,,,,,
That's crap!! Sister Brown Bird. Good going.,happy,,,,,,
Who's next?,happy,,,,,,
Hi there!,happy,,,,,,
"Hi. And batting for Sarah, Ross Geller, 872. Although, it looks like you bought an awful lot of cookies yourself.",happy,,,,,,
"Um, that is because my doctor says that I have a very serious.... nuget.... diffency.",fearful,,,,,,
"Tell us what happened, Brown Bird Ross.",neutral,,,,,,
"Well, I lost. Some little girl loaned her uniform to her nineteen year old sister, who went down to the U.S.S. Nimitz, and sold over 2,000 boxes.",sad,,,,,,
Hey! How'd the interview go?,happy,,,,,,
"Oh, come here sweetie, listen, you're gonna go on like a thousand interviews before you get a job. That's not how that was supposed to come out.",happy,,,,,,
This is the worst Christmas ever.,sad,,,,,,
"Y'know what Rach, maybe you should just, y'know stay here at the coffee house.",happy,,,,,,
"I can't! It's too late! Terry already hired that girl over there. Look at her, she's even got waitress experience. Last night she was teaching everybody how to make napkin.... swans.",sad,,,,,,
That word was swans.,neutral,,,,,,
"Well seeing that drunk Santa wet himself, really perked up my Christmas.",happy,,,,,,
Oh! Oh my God!,fearful,,,,,,
Merry Christmas!!,happy,,,,,,
"You saved them! You guys! Oh God, you're the best!",happy,,,,,,
It's like 'Night of the Living Dead Christmas Trees.',neutral,,,,,,
"Hello? Yeah, this is she. Oh! You're kidding! You're kidding! Oh thank you! I love you!",neutral,,,,,,
"Sure, everybody loves a kidder.",happy,,,,,,
I got the job!,happy,,,,,,
That's great! Hey! Excellent!,happy,,,,,,
"Oh, God bless us, everyone.",happy,,,,,,
"Really Mr. Geller, you don't have to do this.",fearful,,,,,,
Oh come on! Here we go! Stand by for mission countdown!,happy,,,,,,
"Ten, ten.., nine, nine, nine...., eight, eight, eight... Okay, Blast off!",happy,,,,,,
I'm an alien. I'm an alien.,happy,,,,,,
Oh no! An asteroid!,happy,,,,,,
"Okay, pick a card, any card. All right, now memorize it. Show to everybody. Got it?",happy,,,,,,
Um-mm.,neutral,,,,,,
"All right, give it back to me. 5 of hearts.",happy,,,,,,
Real magic does exist.,happy,,,,,,
Wow.,happy,,,,,,
"Wow. Joey, how do you do it?",neutral,,,,,,
"I can't tell you that, no.",happy,,,,,,
"Ah, somebody's at the door on the ceiling.",neutral,,,,,,
"Noo, that's our unbelievably loud upstairs neighbor.",angry,,,,,,
"He took up the carpet, and now you can hear everything.",angry,,,,,,
"Why don't you go up there and ask him to 'step lightly, please?'",happy,,,,,,
"I have like five times, but the guy is so charming, that I go up there to yell and then I end up apologizing to him.",sad,,,,,,
"Ooh, that is silly. I'll go up there, I'll tell him to keep it down.",angry,,,,,,
"All right, be my guest.",happy,,,,,,
Good luck.,sad,,,,,,
"Oh, I got it.",neutral,,,,,,
"Whoa, you are very beautiful.",happy,,,,,,
"Oh, thank you.",happy,,,,,,
"Hey, anybody got a length of rope about six feet long with a little nouse at the end?",angry,,,,,,
"Honey, what's the matter?",happy,,,,,,
I just saw Janice.,angry,,,,,,
Oh.,neutral,,,,,,
"Yeah, she was at Rockefeller Center skating with her husband, she looked so happy. I almost feel bad for whipping that kid's pretzel at them.",sad,,,,,,
"Yes, but you ended up having sex with both of them that afternoon.",neutral,,,,,,
"Sorry, I just, any excuse to tell that story y'know....",sad,,,,,,
"Hey Chandler, there's a party tomorrow, you'll feel better then.",happy,,,,,,
"Oh, y'know what, I'm gonna be okay, you don't have to throw a party for me.",neutral,,,,,,
It's Joey's birthday.,happy,,,,,,
"Oh, well then, if anybody should have a party it should be him.",neutral,,,,,,
Sush!! I cannot believe she is still up there.,angry,,,,,,
"Okay, well he totally screwed up the punch line. Y'know, it's supposed to be arrghh-eh og-errigh.",neutral,,,,,,
"How's that coffee comin,' dear?",happy,,,,,,
"Yeah, right away Mr. Kaplan.",neutral,,,,,,
"I'm not supposed to drink coffee, it makes me gassy.",angry,,,,,,
I know!,neutral,,,,,,
"I'll bet your thinking, 'What's an intelligent girl who wants to be in fashion, doing making coffee?' Eh?",happy,,,,,,
Op.,neutral,,,,,,
Eh.,neutral,,,,,,
"Oh, you got me.",neutral,,,,,,
"Oh, that sounds great.",happy,,,,,,
"Come on over here, sweetheart.",happy,,,,,,
"Oh thank you so much Mr. Kaplan, thank you so much.",happy,,,,,,
I need these hangers separated ASAP. You're welcome.,happy,,,,,,
"Oh God, I hate my job, I hate it, I hate my job, I hate it.",angry,,,,,,
"I know honey, I'm sorry.",happy,,,,,,
"Oh, I wanna quit, but then I think I should stick it out, then I think why would such a person stay in such a demeaning job, just because it's remotely related to the field they're interested in.",angry,,,,,,
"Oh honey, come on, I'm sorry, I didn't.... I don't mind paying my dues, y'know, its just how much am I gonna learn about fashion by walking Mira, the arthritic seamstress, to the bathroom.",fearful,,,,,,
Hi! Is my misery amusing to you?,happy,,,,,,
"I'm sorry, I wa, I wa, I was just ah....",happy,,,,,,
"It's not funny, this is actually my job.",angry,,,,,,
"Oh believe me, I-I-I've been there. I had to sort mannequin heads at that Mannequins Plus.",happy,,,,,,
"Ah, just one other thing.",happy,,,,,,
Yes?!,fearful,,,,,,
Do you want my pickle?,neutral,,,,,,
"So, he's just a nice guy. You really think this Mark doesn't want anything in exchange for helping him?",happy,,,,,,
"Well, I assume I'll have to take showers with him, but y'know, that's true of any job.",happy,,,,,,
How ya feelin'?,happy,,,,,,
"Well, my apartment isn't there anymore, because I drank it.",happy,,,,,,
Where'd you get too? We lost you after you opened up all the presents.,sad,,,,,,
Yeah.,neutral,,,,,,
"Yeah, I ended up in the storage room, and not alone.",happy,,,,,,
Woooo hoooo!!!,happy,,,,,,
"Ow, no 'woo-hooing,' no 'woo-hooing.'",happy,,,,,,
"Why, what happened?",fearful,,,,,,
"Ah, I fooled around with Joey's sister. Well, that's not the worst part.",happy,,,,,,
What is the worse part?,fearful,,,,,,
I can't remember which sister.,sad,,,,,,
You see what men do! Don't tell me men are not nice! This is men!!,angry,,,,,,
Did he call? Did Mark call?,fearful,,,,,,
"No honey, I'm sorry, but the weekend's not over yet.",sad,,,,,,
"Oh. Oh my God, is that Phoebe?",fearful,,,,,,
I guess they're back from their date.,happy,,,,,,
Music. Very nice.,happy,,,,,,
Oh my God!,fearful,,,,,,
"So, how are you?",happy,,,,,,
I am good. I finished my book.,happy,,,,,,
"Oh yeah, what's it about?",happy,,,,,,
I don't remember. Do you wanna take a walk?,happy,,,,,,
"Yeah, I do.",happy,,,,,,
"Well, that's the part where you tell him that I moved to France. When actually I'll be in Cuba.",happy,,,,,,
What if Mary-Angela comes to the door and I ask for Mary-Angela?,fearful,,,,,,
Where in Cuba?,happy,,,,,,
