Utterance,Emotion
Say it!,happy
Say we are unagi!,happy
Say we are unagi!,happy
It’s not something you are! It’s something you have!,angry
"Definitely! Phoebe, you will not find a single game show host, who’s ass I cannot kick.",happy
Say it!,happy
It’s not something you are! It’s something you have!,angry
Say it!,happy
"Y’know what? I can easily get out of this, but there is a chance you can get very, very hurt!",angry
"Hey, Rach, can I borrow your eyelash curler, I think I lost mine.",neutral
"Yeah, it's in there.",neutral
"Yeah, it's in there.",neutral
Oh! Ohh! Oh!!,surprised
Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,surprised
oooooooooooooohhhhhhhhhhh,surprised
Oh! Ohh! Oh!!,surprised
"Joey, can I talk to you for a second?",neutral
Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,surprised
oooooooooooooohhhhhhhhhhh,surprised
Yes. Yes.,neutral
You?!  And-and you?!,surprised
How?! When?!,surprised
It happened in London.,neutral
IN LONDON!!!,surprised
The reason we didn't tell anyone was because we didn't want to make a big deal out of it.,neutral
But it is a big deal!! I have to tell someone!,surprised
No-no-no-no-no! You can't!,fearful
Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,surprised
oooooooooooooohhhhhhhhhhh,surprised
You?!  And-and you?!,surprised
"Yes, but you cannot tell anyone! No one knows!",happy
How?! When?!,surprised
"Please? Please?! We just don't want to deal with telling everyone, okay? Just promise you won't tell.",fearful
"All right! Man, this is unbelievable! I mean, it's",surprised
"I know, it's great!",happy
"Aww, I don't want to see that!",disgusted
No-no-no-no-no! You can't!,fearful
"Please? Please?! We just don't want to deal with telling everyone, okay? Just promise you won't tell.",fearful
Oohh!! Ohh! Oh-oh-oh! Oh-oh!!,surprised
oooooooooooooohhhhhhhhhhh,surprised
"Aww, I don't want to see that!",disgusted
We're so stupid! Do you know what's going on in there? They're trying to take Joey!,sad
"And my second grade teacher was Ms. Thomas, and my first grade teacher was Mrs. Cobb.",neutral
"Mrs., Mrs. Gobb?",neutral
"No Cobb, as in cobb salad.",neutral
"Now, what exactly is in a cobb salad?",neutral
What're we gonna do? What're we gonna do?,fearful
"Uh, uh, we'll flip for it. Ducks or clowns.",neutral
"Oh, we're gonna flip for the baby?",surprised
You got a better idea?,neutral
"All right, call it in the air.",neutral
Heads.,neutral
Heads it is.,neutral
Yes! Whew!,happy
We have to assign heads to something.,neutral
"Right. Ok, ok, uh, ducks is heads, because ducks have heads.",neutral
What kind of scary-ass clowns came to your birthday?,angry
"Okay, some tricks of the trade.",neutral
"Now, I’ve never been able to cry as an actor, so if I’m in a scene where I have to cry, I cut a hole in my pocket, take a pair of tweezers, and just start pulling.",neutral
"Or ah, or, let’s say I wanna convey that I’ve just done something evil.",neutral
"That would be the basic ‘I have a fishhook in my eyebrow and I like it’  Okay, let’s say I’ve just gotten bad news, well all I do there is try and divide 232 by 13.",neutral
And that’s how it’s done.,neutral
"Great soap opera acting tonight everybody, class dismissed.",happy
"Hey, Mr. Trib.",neutral
Hey-hey.,happy
Then I’m gonna have to ask you to keep it down.,neutral
Who are you?,surprised
Who are you?,surprised
"Hi, I’m Eric, I’m gonna be Chandler’s new roommate.",neutral
I’m Chandler’s new roommate.,surprised
I-I-I don’t think so.,surprised
I could be Chandler’s new roommate.,surprised
"But, he told me over the phone.",surprised
He told me in person.,neutral
That’s weird.,surprised
"Well, I’m going to go into my new apartment now.  Ehh!",happy
Hey! Look who I found!,surprised
"Oh, hey guys!",happy
"Y’know, birds have a very good sense of direction, and I thought maybe they could help us find where the presents are hidden.",neutral
"Yes, if the presents are hidden south for the winter.",neutral
"Okay, c’mon guys, show us where the presents are!",neutral
"Oh, the duck seems to think that Monica got me garbage! Hmm, I wonder what I could get Monica that’s as good as garbage?",angry
"Hmm, how about my azzz?",neutral
"No, don’t look directly at them!",fearful
What?,surprised
"Alright, no, we could look at them!",neutral
"Hmm, how about my azzz?",neutral
"Hey, this is hollow.",neutral
What?,surprised
"This bench, it’s hollow! I can’t believe I never knew that!  Oh, the presents!!!",surprised
"No, don’t look directly at them!",fearful
"Alright, no, we could look at them!",neutral
I,neutral
"Hi! I’m so glad you’re here, but it’s gonna be a while. I-I wished you’d called first.",happy
"Oh that’s all right, I’m coming back later with your father.",neutral
Oh good.,happy
I actually needed to talk to you before the birth.,neutral
"Okay, what’s up?",neutral
"I brought something that I want to give you, assuming of course that you want it.",neutral
"Ma, you’re asking me to marry you?",surprised
"This is your grandmother’s engagement ring, I want you to give it to Rachel.",happy
"Mom no, come on! Thank you.",surprised
Just hear me out!,fearful
"Maybe this would’ve happened if I’d been more nurturing, or I’d paid more attention, or I... had a uterus.",sad
I can’t believe this!,sad
"I know no, no, y'know you don’t deserve this, you don’t Ross.",sad
"You’re, you’re really, you’re so good.",sad
Thanks.,sad
And you’re so sweet.  And you’re kind,neutral
Thanks.,sad
"Wait, wait, wait, wait, wait.",surprised
"Okay, it’s okay.",neutral
"Wait, wait, wait.",happy
My foot is stuck in the pocket.,sad
What?,surprised
"No, I can’t get it out.",sad
Yeah.  Hi Mark!,surprised
"Hi. I just talked to Joanna, and she loves you. You got it, you got the job.",happy
"Oh, I did!",surprised
Yes.,happy
Oh my God!!,surprised
Oh my God!!,surprised
Congratulations...oh..wow,happy
I can’t believe I did this! What an idiot!,angry
"Oh, stop beating yourself up!",sad
People make mistakes!,neutral
These things happen!,neutral
There aren’t any message you’ve forgotten to give me are there?,neutral
Apparently you’re not very good at it!,angry
I,neutral
Philadelphia.,neutral
"Oh my God! So was she! Oh, I’ve got-I’ve got goose bumps.",surprised
Really?,surprised
"Well, y’know I’m wearing layers and it’s warm.",neutral
"But if—no look, okay. These jerks might not care about you, but the universe does! And that says a lot!",sad
Did you hear that?!,neutral
I don’t need you guys to care about me!,angry
Because the universe cares!,happy
The whole universe!,happy
I really wished they’d care just a little bit though.,sad
"Well, y’know I’m wearing layers and it’s warm.",neutral
Yeah.,happy
"But if—no look, okay. These jerks might not care about you, but the universe does! And that says a lot!",sad
"I like this one.  It seems to say, ""I love you and that’s why I have to kill you.""",happy
"They can’t all be bad.  Find the one where you make your bedroom eyes. Ohh, there it is.",happy
"They can’t all be bad.  Find the one where you make your bedroom eyes. Ohh, there it is.",happy
Oh my God! Those are my bedroom eyes?! Why did you ever sleep with me?,surprised
Do you really want to pull at that thread?,surprised
Do you really want to pull at that thread?,surprised
I’m having a really good time!,happy
I’m having a really good time!,happy
Me too! I’m sorry that guy in the subway licked your neck.,sad
"Ohh. No that’s okay, he’s a friend.",neutral
"Hey uh, I don’t mean to be presumptuous but I have these two tickets to the ballroom dancing finals tomorrow night if you want to go?",fearful
"Yeah, I… Well y’know I-I mean I missed the-the semi-finals, so I’d just be lost.",sad
"I know it’s really lame, but I got these tickets from my boss and—Oh no! No! No! My God!",surprised
"Okay, don’t freak out. I’ll go.",neutral
"No it’s… Uh, my ex-wife Whitney is out there. I cannot deal with her right now. That woman is crazy!",angry
"Okay, I know. Hold on.  Hey Ross?",neutral
"Okay, I know. Hold on.  Hey Ross?",neutral
Yeah?,neutral
"Yeah, umm that’s Whitney , Kyle’s ex-wife out there, now do you think that you can y’know divert her so that we can slip out?",neutral
What?! No!,surprised
Well okay but I have two tickets to the ballroom dance finals.,neutral
"Look, I don’t think so Pheebs.  All right, I’ll do it. But just because you’re a friend.",neutral
"Well, I-I-I'm done with this. You want anything Ross? Sports? International? Apartment listings?",neutral
I'll take sports.,neutral
I'll take sports.,neutral
Mine!,neutral
"All right. Uhh, international.",neutral
"Okay, look, I-I know what you guys are going to say",neutral
You two will have very hairy children.,disgusted
"Okay, I didn't know you would say that.",surprised
"Okay, I didn't know you would say that.",surprised
Ross! Janice?!,angry
Ross! Janice?!,angry
"All right, hold on!",neutral
Hold on.,neutral
Hold on.,neutral
"This is Ross, okay?",neutral
He's our friend.,neutral
He obviously went crazy.,angry
He obviously lost his mind.,angry
Phoebe! Don't put ideas in his head!,angry
Damnit Phoebe!!,angry
"All right, hold on!",neutral
Hold on.,neutral
Hold on.,neutral
"This is Ross, okay?",neutral
He's our friend.,neutral
He obviously went crazy.,angry
He obviously lost his mind.,angry
So are you actually gonna see her again?,neutral
Phoebe! Don't put ideas in his head!,angry
Damnit Phoebe!!,angry
"Hey, don’t we have to...",neutral
"Yeah, we got, um-hmm.",neutral
"Yeah, we got, um-hmm.",neutral
"Umm, I think you’re really, really great...",happy
"Umm, I think you’re really, really great...",happy
Oh God!,sad
Here we go again.,sad
Why does this keep happening to me?,angry
Is it something I’m putting out there?,sad
Is this my fault?,sad
Or am I just nuts?,sad
"I-I-I-I-I don’t know, I don’t know what to say.",surprised
"I-I-I-I-I don’t know, I don’t know what to say.",surprised
"Hey buddy, this is a family place, put the mouse back in the house.",disgusted
Wait!,sad
Terry!,sad
Please!,sad
"Look, I just lost my other job.",sad
Okay?,neutral
You have no idea how much I need this.,sad
"Please, help me out, for old times sake.",sad
This poor guy’s been in a coma for five years. It’s hopeless.,sad
This poor guy’s been in a coma for five years. It’s hopeless.,sad
"It’s not hopeless! Dr. Stryker Ramoray’s a miracle worker. Look, here he comes.",happy
"It’s not hopeless! Dr. Stryker Ramoray’s a miracle worker. Look, here he comes.",happy
"Good morning.  Drake, it’s your brother Stryker. Can you hear me?",neutral
Wait!,sad
Terry!,sad
Please!,sad
"Look, I just lost my other job.",sad
Okay?,neutral
You have no idea how much I need this.,sad
"Please, help me out, for old times sake.",sad
"Good morning.  Drake, it’s your brother Stryker. Can you hear me?",neutral
I’m back baby! Ha-ha-ha!,happy
That kid really kicked me hard on the plane.,angry
Well you did pull his hair.,neutral
He took my snack!,angry
I’m not getting into this again!,angry
"Okay! Oh God, y’know what? It’s really bad.",sad
"Well, I told you not to walk. Here.  There. Okay.",angry
"This doesn’t mean anything, does it?",fearful
Of course! Only an idiot would wear this stuff if you didn’t have the car! Right?,angry
That is true.,neutral
Come on! What are you doing?! I’m in character! Would you talk to her!,sad
"Ahh, I think it just moved. It’s really poking me.",angry
That is true.,neutral
"Yeah, but only a genius would swallow a sonic blaster gun.",neutral
"But no, because a doctor won’t be able to help him, it’s just gonna y’know naturally pass through his system in like seven years.",neutral
I think that’s gum.,neutral
I’m pretty sure it’s gun.,neutral
"Okay, listen this really hurts. Let’s go.",angry
"A real man wouldn’t just run to the hospital!  No! What would, what would Krog do?",angry
"Yeah, but only a genius would swallow a sonic blaster gun.",neutral
"Oh, I’ve been there. Yeah, I am gonna go drive my Porsche.",neutral
"Oh, I’ve been there. Yeah, I am gonna go drive my Porsche.",neutral
"Joey, you know you don’t actually have one.",neutral
Come on! What are you doing?! I’m in character! Would you talk to her!,sad
"Ahh, I think it just moved. It’s really poking me.",angry
"All right, that’s it, we’re going to the emergency room.",neutral
"All right, that’s it, we’re going to the emergency room.",neutral
"What?! No, you can’t, you can’t leave me here with them! We’re baby-sitting!",angry
"The babies are asleep, I’m sure you’ll be okay on your own for a while!",neutral
But you-you can’t leave me with them! We-we’re a team! We’re playing a zone! They’re gonna triple team me!,angry
"He’s got something plastic lodged in his throat, we’ve got to go to the hospital.",fearful
"But no, because a doctor won’t be able to help him, it’s just gonna y’know naturally pass through his system in like seven years.",neutral
"A real man wouldn’t just run to the hospital!  No! What would, what would Krog do?",angry
That was the only way I could get him to,neutral
That was the only way I could get him to,neutral
Hi! How are the Gellers?,neutral
The judge wouldn’t let us get an annulment! Now we gotta get a divorce!! Did a Porsch throw up on you?,angry
Hey! It’s Porsche!!,angry
Hi! How are the Gellers?,neutral
Don’t call us that!,angry
Don’t call us that!,angry
The judge wouldn’t let us get an annulment! Now we gotta get a divorce!! Did a Porsch throw up on you?,angry
Hey sweetie!,happy
Hey!,happy
There’s no back to this couch!,surprised
Why are you reading this? You hate this kind of stuff.,surprised
"Yeah I know, but I figured a shot y’know?",neutral
"Maybe one of those stories would make me cry and then you wouldn’t think I was y’know, all dead inside.",neutral
"Oh that’s so sweet! Look Chandler I don’t care if you can’t cry, I love you.",happy
Oh that makes me feel so warm in my hollow tin chest.,neutral
Stop it!,happy
"No, I mean, come on, seriously think about it, we get married, we’re up at the altar and I’m like this.",neutral
"I won’t care, because I know you will be feeling it all in here.",neutral
Yeah?,neutral
Of course he is!,happy
"What, do you think I’d just use my son as-as an excuse?",happy
What kind of father do you think I am?,angry
"All right, sorry.",neutral
I gotta go make a fake Ben.,neutral
"The basket is totally empty! My God, the neighbors ate all the candy!",surprised
"Well, either that or uh",neutral
Joey!!,angry
Joey!!,angry
Yeah?,neutral
Did you eat all the neighbor candy?!,angry
"Uh well yeah, that was the plan, but by the time I got to it there was only a couple of pieces left!",angry
They love my candy? Oh man!!! I’ve gotta go make more!!,happy
"Hey Mon, you might wanna make some more lasagna too, because something might’ve happened to a huge chunk of it.",neutral
Ross! The neighbors ate all my candy!!,happy
"Uh well yeah, that was the plan, but by the time I got to it there was only a couple of pieces left!",angry
"Yeah, and they’ve been coming by all day. They love it!",happy
"Yeah, and they’ve been coming by all day. They love it!",happy
They love my candy? Oh man!!! I’ve gotta go make more!!,happy
Ross! The neighbors ate all my candy!!,happy
Mine stole my newspaper! It’s like a,angry
"Yeah, ever since you uh, told me that story about that bike I-I couldn’t stop thinking about it.",neutral
"I mean, everyone should have a-a",neutral
Mine stole my newspaper! It’s like a,angry
Sure!,neutral
"Yeah, ever since you uh, told me that story about that bike I-I couldn’t stop thinking about it.",neutral
"I mean, everyone should have a-a",neutral
Oh my God Ross!!,surprised
You like it?,happy
I,neutral
Yeah?,neutral
Hello darlings.,neutral
And there’s daddy!,happy
There he is! There he is!,surprised
Where?,neutral
Right- where we've been looking all night!,happy
Right- where we've been looking all night!,happy
He is so cute!,happy
He is so cute!,happy
"Oh, George, baby, drop the towel!",happy
"Oh, George, baby, drop the towel!",happy
"Yeah, drop it! Drop the towel! Please drop the——wowww.",happy
"I've gotta tell you, Bob is terrific.",happy
"Yeah, isn't he?",happy
"It is so great to meet a guy who is smart and funny, and has an emotional age beyond, like eight.",happy
You know what else? He's unbelievable in bed.,happy
Wow. My brother never even told me when he lost his virginity.,surprised
Huh. That's nice.,neutral
"and the miracle was that that little bit of oil that should’ve just lasted just one day, burned for",neutral
Eight whole days.,neutral
"That’s right, and that’s why we celebrate Hanukkah today. The end.",happy
Awesome!,happy
Yeah?,surprised
Yeah?,surprised
My favorite part was when,neutral
The Armadillo was actually not so,neutral
The Armadillo was actually not so,neutral
Hey!,happy
Wow! It looks like the Easter Bunny’s funeral in here.,surprised
"Come on, come on, we’re-we’re-we’re lighting the candles!",happy
Oh.,neutral
Hey!,happy
Oh.,neutral
Wow! It looks like the Easter Bunny’s funeral in here.,surprised
Oh.,neutral
Oh.,neutral
"Okay, I understand why",neutral
"Yeah, sure. Good luck!",happy
I’m quitting!! Woo-hoo!  I’m okay!! I’m all right!!,happy
I’m quitting!! Woo-hoo!  I’m okay!! I’m all right!!,happy
"Wow! That’s exciting, you went to Japan, made up a woman.",surprised
‘Cause you’re still into Monica.,neutral
"So you told her there was somebody else so she would agree to work with you, so ‘cause you figure oh if you spent a lot of time together, maybe something might happen, and...",neutral
"Wow! That’s exciting, you went to Japan, made up a woman.",surprised
What?,neutral
"I’m just saying, this woman, I mean she’s fictitious. No?",surprised
Why would you say that?,neutral
‘Cause you’re still into Monica.,neutral
"So you told her there was somebody else so she would agree to work with you, so ‘cause you figure oh if you spent a lot of time together, maybe something might happen, and...",neutral
You’re good. You’re good!,happy
"Yeah, no, I’m fairly intuitive and psychic. It’s a substantial gift.",neutral
"Listen, can you promise me that you won’t tell her though?",fearful
"Absolutely, oh I promise. Tell her what?",neutral
Thanks a lot.,neutral
"No I’m serious. I mean I’m intuitive, but my memory sucks.",neutral
"Excuse me, pardon me, excuse me, excuse me, sorry. Hi.",neutral
"For God's sake, will you let it go? There's no Rachel!",angry
"For God's sake, will you let it go? There's no Rachel!",angry
"Oh, hey, hey, I got that.",neutral
"Oh, hey, hey, I got that.",neutral
"Oh, thanks, sweetie.",happy
No problem. I cannot wait for you to meet my friends.,happy
Really?,surprised
You don't think they'll judge and ridicule me?,fearful
"No, no, they will. I just... uh...",neutral
Can't wait.,neutral
Do I know you?,surprised
"Oh my god, little Stevie Fisher? How've you been?",surprised
"Good, good, I'm a lawyer now.",neutral
You can't be a lawyer. You're eight.,surprised
"Listen, it was nice to see you. I gotta run backstage.",happy
"Uh, wait, backstage?",surprised
"Oh, yeah, my firm represents the band.",neutral
"Look, you guys wanna meet the group?",neutral
Come on.,neutral
"So, are you one of the ones who fooled around with my dad?",surprised
"Oh, yeah, my firm represents the band.",neutral
Ross.,neutral
"Look, you guys wanna meet the group?",neutral
Come on.,neutral
"So, are you one of the ones who fooled around with my dad?",surprised
Ross.,neutral
Chandler.,neutral
Chandler.,neutral
"Look, you guys wanna meet the group?",neutral
Come on.,neutral
"So, are you one of the ones who fooled around with my dad?",surprised
Do you have any respect for your body?,disgusted
Don't you realise what you're-you're doing to yourself?,disgusted
Don't you realise what you're-you're doing to yourself?,disgusted
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease.",angry
"The bottom line is, smoking is cool, and you know it.",neutral
Really?,surprised
He does?,surprised
"Hey, buddy, what's up!",happy
"Oh, she told you about that, huh.",surprised
"Well, yeah, I have one now and then.",neutral
"Well, yeah, now.",neutral
"Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before.",neutral
"Well, okay, thanks!",happy
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease.",angry
"The bottom line is, smoking is cool, and you know it.",neutral
"Chandler? It's Alan, he wants to speak to you.",neutral
Really?,surprised
He does?,surprised
"Hey, buddy, what's up!",happy
"Oh, she told you about that, huh.",surprised
"Well, yeah, I have one now and then.",neutral
"Well, yeah, now.",neutral
"Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before.",neutral
"Well, okay, thanks!",happy
"God, he's good.",happy
"God, he's good.",happy
If only he were a woman.,neutral
Yeah.,neutral
"Oh, look look look.",surprised
The last candle's about to burn out.,neutral
"10, 9, 8, 7... ... negative 46, negative 47, negative 48....",neutral
Thank you.,neutral
Thanks.,neutral
Kinda... spooky without any lights.,fearful
"OK, guys, guys? I have the definitive one. Mwwwooooo-hah-hah...",happy
Oh.. oh... oh.,neutral
Kinda... spooky without any lights.,fearful
Bwah-hah-hah!,happy
"OK, guys, guys? I have the definitive one. Mwwwooooo-hah-hah...",happy
Oh.. oh... oh.,neutral
"Hey Ross. This probably isn't the best time to bring it up, but you have to throw a party for Monica.",neutral
You blew them away!,happy
"Oh, I can't tell you how great it was to look at the crowd and see your face!",happy
"I mean... uh, did you know you were  mouthing the words along with me?",neutral
I was,surprised
"No, it's ok! Made me feel like a rock star!",happy
Oh my God!  I'm your,surprised
I'd better not found you naked in my hotel room!,happy
"Look, I took it too far!",happy
"Okay, Monica: Right foot red.",neutral
Could've played,neutral
Could've played,neutral
Thanks.,neutral
Thanks.,neutral
"Okay, Pheebs: Right hand blue. Good.",neutral
"Hello? Oh, uh, Rachel, it's the",neutral
"Hello? Oh, uh, Rachel, it's the",neutral
"Oh, okay. Will you take my place?",neutral
"Alright.  Yes, this is Rachel.",neutral
Nooo!,surprised
Hello?,neutral
"Oh, yeah, no, I know, I-I haven't been using it much.",neutral
"Oh, well, thanks, but, I'm okay, really.",happy
I've got magic beans.  Never-never mind.,neutral
"To the left, to the left- aww!",neutral
Ohhh... I'm fine.,neutral
Nooo!,surprised
Hello?,neutral
"Oh, yeah, no, I know, I-I haven't been using it much.",neutral
"Oh, well, thanks, but, I'm okay, really.",happy
Green. To the green.,neutral
I've got magic beans.  Never-never mind.,neutral
Hey!,happy
Please tell me you got the message!,fearful
What message?,neutral
"The actor playing Mac couldn’t do it, they needed to see you at 2 o’clock.",neutral
What?! It’s 6 o’clock!,surprised
"Du-du-I wrote it, I wrote it on the board!",fearful
"I wrote it on the board, then I went all over New York City looking for ya!",angry
I went to Ross’s!,neutral
I went to the coffeehouse!,neutral
I went to any place that they made sandwiches!,neutral
"That’s the day you’re gonna die? See—darnit, I’ve got shuffleboard that day.",neutral
That’s what you think.,neutral
"Oh, you Americans always butcher the French language.",neutral
Yes!!  Oh.,surprised
That’s what you think.,neutral
"Well, I mean what about friends of your grandmother’s? Wouldn’t they have the recipe?",neutral
"Well, y’know I may have relatives in France who would know. My grandmother said she got the recipe from her grandmother, Nesele Tolouse.",neutral
What was her name?,neutral
Nestley Toulouse.,neutral
Nestlé Toll House?,neutral
"Oh, you Americans always butcher the French language.",neutral
Yes!!  Oh.,surprised
I cannot believe that I just spent the last two days trying to figure out the recipe and it was in my cupboard the whole time!,angry
I know! You see it is stuff like this which is why  you’re burning in hell!!,angry
"So, we're decided, no on plaid, yes on pink?",neutral
Absolutely!,happy
I've actually been thinking about quitting lately.,neutral
"Oh sure, every Sunday night I'm telling myself I'm quitting but every Monday morning it's like",disgusted
Tell me about it!,neutral
It does sound appealing.,neutral
"Oh, I never could do it.",happy
Absolutely!,happy
I am so on board!,happy
"Yeah, I did, but y'know what? I am really, really trying to cut back, y'know?  Good luck, Rach.",neutral
I've actually been thinking about quitting lately.,neutral
Tell me about it!,neutral
Well then let's just quit! We'll just quit! Let's all quit!,happy
"Oh, I never could do it.",happy
Oh but you could.,neutral
You can.,neutral
Absolutely!,happy
We can help each other out!,happy
We can get--what are those--those patches!,neutral
We could be like the Patch Sisters!,happy
I am so on board!,happy
Rachel didn't you just light that?,neutral
"Yeah, I did, but y'know what? I am really, really trying to cut back, y'know?  Good luck, Rach.",neutral
Well then let's just quit! We'll just quit! Let's all quit!,happy
It does sound appealing.,neutral
Oh but you could.,neutral
You can.,neutral
Absolutely!,happy
We can help each other out!,happy
We can get--what are those--those patches!,neutral
We could be like the Patch Sisters!,happy
"Oh y'know, we really should quit. Okay, let's quit!",happy
Yes! Great! Give me those cigs! Give it! Give it!,happy
My late husband gave me that lighter.  I'm not kidding.,sad
Okay then!,happy
"Well, maybe it's a contest, y'know? Like, collect all five?",neutral
"Does, um, anyone wanna see?",neutral
So I have a flaw!,angry
Big deal!,angry
Like Joey's constant knuckle-cracking isn't annoying?,angry
"And Ross, with his over-pronouncing every single word?",angry
"And Monica, with that snort when she laughs?",angry
"I mean, what the hell is that thing?",disgusted
"...I accept all those flaws, why can't you accept me for this?",angry
"Does, um, anyone wanna see?",neutral
Nooo..,disgusted
"Oh, hey, don't do that! Cut it out!",angry
Nooo..,disgusted
"Oh, hey, don't do that! Cut it out!",angry
It's worse than the thumb!,disgusted
It's worse than the thumb!,disgusted
"Hey, this is so unfair!",angry
So I have a flaw!,angry
Big deal!,angry
Like Joey's constant knuckle-cracking isn't annoying?,angry
"And Ross, with his over-pronouncing every single word?",angry
"And Monica, with that snort when she laughs?",angry
"I mean, what the hell is that thing?",disgusted
"...I accept all those flaws, why can't you accept me for this?",angry
"Hey, this is so unfair!",angry
"Oh, why is it unfair?",surprised
So I have a flaw!,angry
Big deal!,angry
Like Joey's constant knuckle-cracking isn't annoying?,angry
"And Ross, with his over-pronouncing every single word?",angry
"And Monica, with that snort when she laughs?",angry
"I mean, what the hell is that thing?",disgusted
"...I accept all those flaws, why can't you accept me for this?",angry
So I have a flaw!,angry
Big deal!,angry
Like Joey's constant knuckle-cracking isn't annoying?,angry
"And Ross, with his over-pronouncing every single word?",angry
"And Monica, with that snort when she laughs?",angry
"I mean, what the hell is that thing?",disgusted
"...I accept all those flaws, why can't you accept me for this?",angry
...Does the knuckle-cracking bother everybody?,angry
...Does the knuckle-cracking bother everybody?,angry
"Well, I-I could live without it.",neutral
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",neutral
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",neutral
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",neutral
"Oh,  ""you do, do you""?",angry
"You know, there's nothing wrong with speaking correctly.",neutral
"You know, there's nothing wrong with speaking correctly.",neutral
"""Indeed there isn't""... I should really get back to work.",happy
"""Indeed there isn't""... I should really get back to work.",happy
"Yeah, 'cause otherwise someone might get what they actually ordered.",neutral
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",angry
Awww! Mel Torme died.,sad
"Joey, that paper’s like a year old!",neutral
Aw! Does that mean the,sad
Aw! Does that mean the,sad
Hey.,neutral
Hey.,neutral
You're sure? You're absolutely sure?,neutral
"Well, no. But, um, I bet she probably does.",neutral
Probably?,neutral
"Yeah, I don't like that word.",disgusted
Kind of what ‘probably’ really means.,neutral
"Yeah, uh-huh.",neutral
"Yeah, oh, ""Your mom probably won't kill herself,"" y’know?",angry
"I'm sorry, but I'm not hanging all my hopes of Rachel and I living together on-on ""Probably!""",angry
You gotta take care of yourselves!,neutral
In,neutral
Probably?,neutral
"Yeah, I don't like that word.",disgusted
Kind of what ‘probably’ really means.,neutral
"Yeah, uh-huh.",neutral
"Yeah, oh, ""Your mom probably won't kill herself,"" y’know?",angry
"I'm sorry, but I'm not hanging all my hopes of Rachel and I living together on-on ""Probably!""",angry
You gotta take care of yourselves!,neutral
In,neutral
"Bing doesn't seem so weird now, does it?",neutral
Yoo-hoo! Aaron Litman-Neurolic would like to say hello to his future bride.,happy
Ohhh!  Wow! He kinda takes your breath away doesn’t he?,happy
He’s a keeper. How are you feeling?,neutral
"Oh, I’m fine.",neutral
"Can I just say, I really admire what you’re doing. Just raising her all alone.",neutral
"Oh, I’m not doing it alone. I have Ross.",neutral
"Oh, sure. Now. But what happens when he meets somebody else and gets married?",neutral
"Well then he gets a divorce, it’s Ross!",neutral
"I’m telling you Rachel, listen to Janice. They all say they’re gonna be there until they start their real family.",neutral
Well I—That’s never gonna happen with Ross.,sad
"Oh well that’s what I thought about my first husband, now I’m lucky if my kid gets to spend the weekend with her father and the twins and little Ms. New Boobs.",disgusted
Hey. Who’s that?,neutral
New people.,neutral
What happened to the disgustedingtons?,neutral
They’re having their baby!,angry
It’s not fair Ross we got here first!,angry
Right after you left they wheeled her off into delivery.,neutral
Oh but not before she gave me a juicy shot of little Jamie just crowning away.,neutral
"Wow! Sorry. So uh, how are the new people?",surprised
Phoebe?,neutral
Yeah?,neutral
"Look at that guy by the window, wow!",surprised
"He’s awfully short and I think he’s talking to himself. And to be completely honest, he’s not that good in bed.",neutral
"Oh, what is wrong with me lately?",sad
I mean it’s like every guy I see—I mean look here.,neutral
"Look at that guy for example, I mean normally that’s not someone I would-would be attracted to, but right now, with the way I’m feeling, all I want to do is rip off his sweatpants and fanny pack.",neutral
"Wait a second! This is about the fourth month of your pregnancy, right?",neutral
Yeah.,neutral
"This is completely normal, around the fourth month your hormones start going crazy.",neutral
Really?! So this has happened to you?,surprised
Oh absolutely yeah!,neutral
"Oh and keep in mind, now, I was carrying triplets so in, y’know, medical terms I was-I was thrice as randy.",neutral
"Wow! This explains so much! Last weekend, I went from store to store sitting on Santa’s lap.",happy
"Yeah. Yeah, I remember trying to steal a cardboard cutout of Evander Holyfield from a",neutral
Ugh!,disgusted
I don’t know what I’m going to do!,fearful
I called the company that sent and th-they don’t care!,angry
"Then I called 9-1-1 and they laughed at me, if this isn’t an emergency, then what is?",angry
Hey guys!,happy
Hey,neutral
"I just wanted to thank you again for last night, what a great party!",happy
And the guys from work had a blast.,happy
"Y’know, one of them had never been to a bachelor party before.",happy
Yeah!,happy
"And-and another one had never been to a party before, so",surprised
"So uh, hey, that uh, that wedding ring, huh? Man, that’s nice!",happy
"Yeah, right!",happy
"I was uh, I was thinking I might want to pick one of those babies up for myself, I might want to get one of those",neutral
"That ring? When my grandmother first came to this country, that ring and the clothes on her back were all she had with her.",surprised
Hey guys!,happy
Hey!,happy
"I just wanted to thank you again for last night, what a great party!",happy
And the guys from work had a blast.,happy
"Y’know, one of them had never been to a bachelor party before.",happy
Yeah!,happy
"And-and another one had never been to a party before, so",surprised
